Gene,pancancer_pearson_r,pancancer_p_value,pancancer_fdr,pancancer_paired_n,melanoma_pearson_r,melanoma_paired_n,melanoma_spearman_rho,melanoma_spearman_p,mean_effect_melanoma,median_effect_melanoma,std_effect_melanoma,n_melanoma,mean_effect_other,median_effect_other,std_effect_other,n_other,selectivity,frac_dependent_melanoma,frac_dependent_other,dependency_prevalence_difference,welch_t,p_value,fdr_bh,hedges_g,mean_dep_prob_melanoma,mean_dep_prob_other,frac_prob_gt_05_melanoma,frac_prob_gt_05_other,mean_expr_melanoma,median_expr_melanoma,frac_expressed_melanoma,is_common_essential,is_reference_gene,is_candidate,candidate_rank,priority_score,is_reference_melanoma_target,melanoma_spearman_for_rank,prevalence_advantage,rank_codependency,rank_within_melanoma,rank_melanoma_effect,rank_selectivity,rank_prevalence,proxy_priority_score,proxy_rank,presentation_category,presentation_label,presentation_decision
BRAF,0.5897571703156993,1.1217714906332167e-108,1.0344415800874209e-104,1150,0.5375456706015763,75,0.5500711237553343,3.18775916065293e-07,-0.8426411983221009,-0.971459794307466,0.64630500453695,75,-0.0774620894279253,-0.0406653501249008,0.219201444792377,1075,-0.7651791088941755,0.6666666666666666,0.0316279069767441,0.6350387596899224,-10.212227657330144,7.425668099912132e-16,1.0534738212821496e-12,-2.8522163972403605,0.6688804442476991,0.0906862345707004,0.6666666666666666,0.0372093023255813,3.1558578326750513,3.1747259877061333,1.0,False,True,True,2.0,0.3142857142857143,True,0.5500711237553343,0.6350387596899225,0.05555555555555555,0.16666666666666666,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.09444444444444444,1,Established target / control,Approved melanoma target,Positive control
MAPK1,0.4658378099776559,5.247955693200562e-63,1.9357609369939593e-59,1150,0.5824500842984958,75,0.6063726884779516,8.139471794777439e-09,-0.7325113436390706,-0.7138246464753908,0.5235248015877356,75,-0.2120117389518665,-0.1785385777333477,0.244302037948116,1075,-0.520499604687204,0.6266666666666667,0.0911627906976744,0.5355038759689923,-8.545540769627847,9.670310892734348e-13,6.605538659062948e-10,-1.9185933661368009,0.6546709714839616,0.1977891790044947,0.6666666666666666,0.121860465116279,5.412051834576672,5.467605550082998,1.0,False,False,True,4.0,0.5857142857142857,True,0.6063726884779516,0.5355038759689923,0.2222222222222222,0.05555555555555555,0.2222222222222222,0.2777777777777778,0.2222222222222222,0.20833333333333331,2,Established target / control,Known MAPK-pathway target,Positive control
DUSP4,0.5061772329657102,7.536469238003407e-76,3.474877553912421e-72,1150,0.31237537653294833,75,0.30711237553342813,0.007360000406166041,-0.664843493292558,-0.5879241031138301,0.6141366483716729,75,-0.0524010173730116,-0.0226336586527731,0.1897764390153721,1075,-0.6124424759195464,0.5733333333333334,0.0288372093023255,0.5444961240310078,-8.607738686557525,8.315044703354554e-13,5.898244979383387e-10,-2.5412462928633075,0.5553772205878829,0.0713606480441985,0.5866666666666667,0.0334883720930232,6.286078828600683,6.536363792395467,0.98989898989899,False,False,True,5.0,0.6285714285714286,False,0.30711237553342813,0.5444961240310079,0.16666666666666666,0.5,0.4444444444444444,0.1111111111111111,0.16666666666666666,0.2611111111111111,3,Underexploited melanoma biology,Underexploited ERK phosphatase,Mechanistic support
ZEB2,0.3195182013479856,1.0452696959211798e-28,1.60649241682286e-25,1150,0.3290618046822573,75,0.3596301564722617,0.0015300714234035954,-0.7015956524202439,-0.6947124045109407,0.4056428540717362,75,-0.2677645559423911,-0.2119756154596334,0.2571651885875755,1075,-0.4338310964778528,0.68,0.1209302325581395,0.5590697674418605,-9.134868866094688,5.779831081718147e-14,5.922079146673766e-11,-1.6104044479106137,0.687333570147249,0.2328211019880095,0.7066666666666667,0.1311627906976744,5.169293514776464,5.310340120612151,0.98989898989899,False,False,True,3.0,0.5571428571428572,False,0.3596301564722617,0.5590697674418605,0.5,0.3888888888888889,0.2777777777777778,0.3888888888888889,0.1111111111111111,0.3777777777777778,4,Poorly druggable lineage regulator,Melanoma-state TF,Biological proxy
MITF,0.5113123737825549,1.3045214321670807e-77,8.019762924485823e-74,1150,0.31006901743347826,75,0.2772403982930298,0.01603782344831406,-0.4765956901602433,-0.4355395550584639,0.3837794562953722,75,-0.0739641202995021,-0.0780931061619712,0.1144293369746077,1075,-0.4026315698607411,0.4133333333333333,0.0027906976744186,0.4105426356589147,-9.057618926294554,1.167231983805905e-13,1.0251075941586809e-10,-2.728682691310521,0.4654743943277468,0.0621842428979097,0.48,0.0037209302325581,5.6581607175950035,6.40786256740339,1.0,False,True,False,,,False,0.2772403982930298,0.4105426356589147,0.1111111111111111,0.6111111111111112,0.6666666666666666,0.5,0.5,0.4138888888888889,5,Poorly druggable lineage regulator,Known lineage dependency,Biological control
TFAP2A,0.4337092743506815,6.114668132105315e-54,1.8795470726736388e-50,1150,0.36415321432630315,75,0.3694452347083926,0.0011063822699678406,-0.4496397782924236,-0.2590451531850053,0.5558493597827237,75,0.0100086209361445,0.033726058912694,0.1957612439353471,1075,-0.4596483992285681,0.3466666666666667,0.027906976744186,0.3187596899224806,-7.1306360921904375,5.191047094910252e-10,1.7096157423469608e-07,-1.9451280861585496,0.4047449642940733,0.060887200371497,0.3733333333333333,0.0306976744186046,5.199564551254556,5.3826672527450405,0.98989898989899,False,False,False,,,False,0.3694452347083926,0.31875968992248066,0.2777777777777778,0.3333333333333333,0.7777777777777778,0.3333333333333333,0.7222222222222222,0.4416666666666667,6,Poorly druggable lineage regulator,Melanocytic TF,Biological proxy
PPP2R2A,0.3163002123560529,3.898965153185458e-28,5.1363295942999575e-25,1150,0.4379234886581251,75,0.43112375533428166,0.00011273596729104737,-0.5998727803700536,-0.6003482967335745,0.3279330896488016,75,-0.1742488077602619,-0.1500194901022779,0.2957219181782122,1075,-0.4256239726097917,0.5866666666666667,0.1237209302325581,0.4629457364341085,-10.934236719940158,9.951169452282078e-18,2.2941177276054797e-14,-1.4277984531913477,0.6082549260340079,0.2080592008572371,0.5866666666666667,0.1506976744186046,5.431569547700818,5.443606651475615,1.0,False,False,True,6.0,0.8285714285714286,False,0.43112375533428166,0.4629457364341086,0.6111111111111112,0.2222222222222222,0.5555555555555556,0.4444444444444444,0.2777777777777778,0.47500000000000003,7,Deprioritised,Directionality / safety concern,Deprioritise
ELOA,0.32890940654175327,2.0439267076768762e-30,3.4269218426986025e-27,1150,0.5856226744541145,75,0.5508677098150783,3.0406032374762245e-07,-0.4749599301025203,-0.4391213003012318,0.3102047377586212,75,-0.1691597429510117,-0.1507531609857466,0.2178778920704312,1075,-0.3058001871515085,0.4533333333333333,0.0613953488372093,0.391937984496124,-8.394058146515912,1.4628564026644734e-12,9.635521655121744e-10,-1.3583768155099425,0.5077960136553871,0.1647318404918061,0.4933333333333333,0.0809302325581395,4.994725201331679,5.105594275795191,1.0,False,False,False,,,False,0.5508677098150783,0.391937984496124,0.4444444444444444,0.1111111111111111,0.7222222222222222,0.7222222222222222,0.5555555555555556,0.5166666666666667,8,Deprioritised,Broad transcription factor,Deprioritise
CCND1,0.20822397596102843,9.902844981901356e-13,3.581140588258955e-10,1150,0.31313831358728456,75,0.288705547652916,0.01200467026173629,-1.6187920880053617,-1.5725255676011338,0.732526761573825,75,-1.0108670031712317,-0.8651966457483807,0.7819671483339129,1075,-0.6079250848341302,0.9333333333333332,0.6502325581395348,0.2831007751937985,-6.917438376705149,7.642670171084334e-10,2.472873087110674e-07,-0.78000699158227,0.9326888483469806,0.6785572693733658,0.9333333333333332,0.666046511627907,7.189935210615471,7.091488279764279,1.0,False,False,False,,,False,0.288705547652916,0.2831007751937984,0.9444444444444444,0.5555555555555556,0.05555555555555555,0.16666666666666666,0.7777777777777778,0.5361111111111111,9,Established target / control,Known CDK4/6 axis,Not novel
FERMT2,0.22186667678845456,2.725514456916168e-14,1.2888887981770483e-11,1150,-0.10914137283181334,75,-0.03493598862019914,0.7660361883678622,-1.1342006996609686,-1.0855113140298724,0.525098895346326,75,-0.5744640482115747,-0.4160259280722921,0.5074128720270333,1075,-0.5597366514493939,0.8933333333333333,0.4344186046511628,0.4589147286821705,-8.94475654868321,7.715023227068242e-14,7.114408668840979e-11,-1.0998865195723888,0.8828852823352016,0.4922421034856411,0.8933333333333333,0.4632558139534883,4.309978723905034,4.31397137105902,1.0,False,False,False,,,False,-0.03493598862019914,0.45891472868217054,0.8333333333333334,1.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.5416666666666666,10,Exploratory candidate,Adhesion-associated proxy,Backup
