Gene,proxy_rank,pancancer_pearson_r,melanoma_pearson_r,melanoma_spearman_rho,mean_effect_melanoma,selectivity,frac_dependent_melanoma,frac_dependent_other,mean_expr_melanoma,fdr_bh,is_reference_melanoma_target,Target_class,Existing_ligand_or_drug,Highest_development_stage,Directly_druggable,Potential_indirect_strategy,Prior_melanoma_target_evidence,Novelty_category,Safety_or_normal_tissue_concern,Final_keep_or_reject,Evidence_notes
BRAF,1,0.5897571703156993,0.5375456706015763,0.5500711237553343,-0.8426411983221009,-0.7651791088941755,0.6666666666666666,0.0316279069767441,3.1558578326750513,1.0534738212821496e-12,True,,,,,,,,,,
MAPK1,2,0.4658378099776559,0.5824500842984958,0.6063726884779516,-0.7325113436390706,-0.520499604687204,0.6266666666666667,0.0911627906976744,5.412051834576672,6.605538659062948e-10,True,,,,,,,,,,
DUSP4,3,0.5061772329657102,0.31237537653294833,0.30711237553342813,-0.664843493292558,-0.6124424759195464,0.5733333333333334,0.0288372093023255,6.286078828600683,5.898244979383387e-10,False,,,,,,,,,,
ZEB2,4,0.3195182013479856,0.3290618046822573,0.3596301564722617,-0.7015956524202439,-0.4338310964778528,0.68,0.1209302325581395,5.169293514776464,5.922079146673766e-11,False,,,,,,,,,,
MITF,5,0.5113123737825549,0.31006901743347826,0.2772403982930298,-0.4765956901602433,-0.4026315698607411,0.4133333333333333,0.0027906976744186,5.6581607175950035,1.0251075941586809e-10,False,,,,,,,,,,
TFAP2A,6,0.4337092743506815,0.36415321432630315,0.3694452347083926,-0.4496397782924236,-0.4596483992285681,0.3466666666666667,0.027906976744186,5.199564551254556,1.7096157423469608e-07,False,,,,,,,,,,
PPP2R2A,7,0.3163002123560529,0.4379234886581251,0.43112375533428166,-0.5998727803700536,-0.4256239726097917,0.5866666666666667,0.1237209302325581,5.431569547700818,2.2941177276054797e-14,False,,,,,,,,,,
ELOA,8,0.32890940654175327,0.5856226744541145,0.5508677098150783,-0.4749599301025203,-0.3058001871515085,0.4533333333333333,0.0613953488372093,4.994725201331679,9.635521655121744e-10,False,,,,,,,,,,
CCND1,9,0.20822397596102843,0.31313831358728456,0.288705547652916,-1.6187920880053617,-0.6079250848341302,0.9333333333333332,0.6502325581395348,7.189935210615471,2.472873087110674e-07,False,,,,,,,,,,
FERMT2,10,0.22186667678845456,-0.10914137283181334,-0.03493598862019914,-1.1342006996609686,-0.5597366514493939,0.8933333333333333,0.4344186046511628,4.309978723905034,7.114408668840979e-11,False,,,,,,,,,,
