Gene,log2FC,FDR
LHFPL3-AS1,-5.11551327704989,1.3797840569850202e-31
FRG2DP,-5.108168335875,3.95659832850935e-51
MGAM2,-4.80543025909035,5.07008736262179e-85
PRDM7,-4.72513268987125,8.25563793683138e-17
ROPN1,-4.68608373530659,3.1699224399754503e-35
SLC18A1,-4.45229814875785,1.02006730410322e-10
GJB1,-4.44926752917125,8.12242450452304e-27
RDH12,-4.36242130691484,3.83089903808868e-12
RLBP1,-4.27119542494802,7.65478131025816e-31
TRPM1,-4.25768051635537,7.621333665585e-18
MRGPRX4,-4.12377330825071,7.604419982268e-36
RGR,-3.9948852822986,3.76022492382087e-07
ROPN1B,-3.94014250056841,1.79306164764591e-48
LOC100130370,-3.93308571843877,1.04323729663842e-26
SCML4,-3.89527041746672,1.4668538303448501e-25
TRIM51,-3.87091779198557,2.3233944256637497e-42
OCA2,-3.8687802658785,3.38435712254e-08
ENTHD1,-3.82569520787443,1.8752969396206702e-24
STK32A,-3.81672195738279,9.84453382561404e-51
LINC00589,-3.7275587388528,2.4204410385110602e-37
LINC01531,-3.71926465709955,6.664087088623121e-14
HCCAT5,-3.71184387925383,5.53499593023359e-14
CPN1,-3.67826896018365,1.24324336312695e-57
RXRG,-3.64838234604603,1.36132436252416e-80
ABCB5,-3.63699369841462,3.62260680218693e-30
LOC101929745,-3.6217757784317,7.92337987545912e-29
ERBB3,-3.61337637234432,7.18604511945876e-118
FCGR2B,-3.56437534908287,1.18276071269879e-08
PHACTR1,-3.55007352191982,3.3963852410567097e-43
PLLP,-3.53491759806499,1.56724013895845e-23
PROM1,-3.52999950416337,2.1165370219667397e-18
TKTL1,-3.52407148921341,2.65843683813028e-12
DCT,-3.51176227957865,2.6046877312105396e-56
ATP6V0A4,-3.50069104324664,2.08907497180603e-58
IRF4,-3.48957391696527,4.6377777086355404e-35
IGSF11,-3.48658414705041,4.279433355492e-68
LRRK2,-3.45816126605548,3.00017918972005e-24
ATP10B,-3.45421923654393,4.97831150452976e-93
ACTL8,-3.45265019251703,3.2507255741384904e-15
HILS1,-3.4504324536553,4.40329598592395e-30
PLP1,-3.43972227380478,3.8846762853995105e-65
SLC24A5,-3.41032273465705,8.7900386024001e-59
MGAM,-3.40083077797455,2.0551608732575902e-17
PTCRA,-3.38964797870258,2.75730759598744e-12
ITK,-3.38931640394133,4.66828232629023e-05
SPINK1,-3.37214374108126,8.77422053306601e-08
MGC16025,-3.34077000591964,1.80483294465316e-33
LOC100506444,-3.32873107525749,1.96354136409579e-12
SPATS1,-3.3247884459145,3.42786289358597e-13
SLC39A12,-3.31480230098933,0.0002830910090491
LOC101930452,-3.29552313889625,2.21085752437615e-37
TRIM63,-3.28750653181768,9.34638269642151e-21
LINC00488,-3.27873920155758,2.61196327058305e-43
LGI3,-3.25944518658701,7.21845683892723e-06
MLANA,-3.23311860036589,1.20997599587923e-28
SLC5A4,-3.23045131588709,2.56078264904316e-13
SLAMF7,-3.21456134222027,3.2241014629689397e-43
LOC285000,-3.19306415275773,6.10618416747546e-12
DMTN,-3.16667794587818,1.02474582364237e-20
BMX,-3.16322959388663,3.89647606841376e-05
LOC101927120,-3.15672453136579,0.000371473616919
DNASE2B,-3.14239203497079,8.33388812761738e-05
PLEKHB1,-3.1415305782818,5.74477422132697e-68
ALDH3B2,-3.12977551835408,1.36625275647864e-05
PMP2,-3.11472281403608,3.08358932585958e-21
HRK,-3.10540088097538,2.02228536872018e-13
XG,-3.09192536110793,1.52038902335647e-07
DYNC1I1,-3.08953830453844,8.8693411427693e-24
KRT12,-3.08590279910429,1.02254561185649e-06
ALDH1A1,-3.08569570038343,8.907619607736239e-28
LOC613266,-3.07174054424564,3.46339888102587e-07
KU-MEL-3,-3.06284660753686,3.22364137217265e-07
ZNF648,-3.05127107577613,2.4804490118793e-05
LINC00698,-3.04978701944253,2.2086209529854202e-14
SOX6,-3.04610463916047,1.5709644409356401e-46
PDE3A,-3.04240207220555,5.92122814258224e-08
KRTAP19-1,-3.02961389623464,8.09106966583698e-05
ESRP1,-3.02685277712002,3.62005698246591e-29
TMPRSS5,-3.00258406926396,1.3491371355885699e-16
CCDC26,-2.99379263666891,6.17052670928976e-10
DNAH9,-2.98836861214002,1.29847322203474e-20
FLJ22763,-2.96875931222707,1.58997703416413e-06
FAM174B,-2.95895640714148,1.44349277404007e-16
LINC00479,-2.95435560781749,0.0002612537664834
LINC00518,-2.93598525569391,1.26028098903987e-30
LOC494127,-2.9327006092859,1.28397256352958e-07
TRIM48,-2.92256431045986,0.0164958461214441
KRT27,-2.91759159879966,1.92349936310504e-05
MITF,-2.91028838935421,3.21090976068903e-48
BEST1,-2.90384255857443,7.83838610552688e-26
IRX6,-2.90116572657296,4.31436429220383e-18
NSG1,-2.89035685505412,1.76033770803262e-45
CMTM5,-2.88608783946967,1.44480836567973e-06
LINC01198,-2.88487978297382,3.58434739540795e-14
LRAT,-2.84925154448022,1.20367436039921e-25
CAPN3,-2.83911366790515,3.08741803429486e-19
SEMA6A,-2.83499701075908,1.10059633790557e-80
CTLA4,-2.82712271554664,0.0002442407878511
ANKS1B,-2.8261561121786,1.51250233011483e-14
PNLIPRP3,-2.82091011188392,3.90619914882284e-17
ST6GALNAC3,-2.81528793484698,1.10880670315145e-40
LOC105369486,-2.80030497473291,5.67386674120401e-32
SNAR-G1,-2.79142363758839,0.0015426347219102
CTCFL,-2.7723020798666,4.79510936802803e-05
SORBS1,-2.76689997297654,4.70724731088659e-26
ABCG5,-2.76469228253326,2.6032274411682e-08
LYPD1,-2.76235046256085,2.6077454184216602e-14
SLC35F1,-2.76176517149839,1.02432373868362e-20
MORC1,-2.75670930164774,1.10386261234416e-10
LINC00511,-2.75131226620272,2.47285316579883e-29
MS4A7,-2.74019687418943,0.0007231476400007
LINCR-0003,-2.7384363166431,1.2302393715569801e-09
CLDN14,-2.71747516145371,3.35107567208549e-05
FREM1,-2.71667688517327,1.0540502058430399e-30
TYR,-2.71622331231067,9.625510188648629e-36
LOC102723895,-2.71588265819685,3.4995530285798703e-09
LOC101929450,-2.70246635192583,2.99044673354128e-18
CSRP2,-2.70134236925272,1.55721908134346e-45
SLC24A2,-2.6990300444852,4.95351855648702e-05
CD96,-2.69397117425583,1.29326610161558e-18
SGCD,-2.68878394677825,1.01324397872327e-26
FXYD3,-2.68499433405019,2.21085752437615e-37
MUC5B,-2.66130879533508,1.7932838379832e-12
LOC100507477,-2.65662218403168,2.5520307573262598e-11
TNFRSF19,-2.64313170813151,2.07510905292578e-68
MLIP,-2.63846343853022,3.5509012819830205e-09
LAD1,-2.62114407905047,0.0065787369266798
SFTPC,-2.60219327804749,1.02222243304949e-08
LINC01013,-2.59548326832851,2.52433120771727e-06
FAM167B,-2.594304130971,1.00061852574715e-31
SLC45A2,-2.5851446781739,4.32856842697197e-34
RNF125,-2.5758541682117,4.7284362516116905e-60
GALNT3,-2.556738443761,2.30601031981032e-10
MXI1,-2.54871222248382,7.95266430206371e-91
ARHGAP15,-2.54753090259974,0.0006087396810457
C7,-2.54653465647966,0.0005158437004818
LOC100507006,-2.5410023693518,2.87152444373238e-05
PTPRZ1,-2.53982860610442,1.73219441809926e-14
VEPH1,-2.53425323359357,5.9820578282936504e-24
GAS7,-2.53071868871257,4.5388818400977e-55
CHL1,-2.52175259473519,9.933912059602159e-18
SPRR2D,-2.51526272639479,2.24835270056963e-17
FABP7,-2.51067596192676,4.6782278742625494e-30
FAM69C,-2.4889940444623,0.0001276745046384
LSAMP,-2.48440235338035,3.01587416083591e-31
GPRC5B,-2.4763549343043,2.4139773149135397e-36
ART3,-2.46103534757839,1.19047045313432e-19
MOG,-2.43451026660575,0.0026453279496989
CHL1-AS1,-2.43256008338117,0.009321297177416
LOC103352541,-2.42741986758255,0.0328908271663457
