Gene,log2FC,FDR
COL1A1,6.21379613896653,6.31203562694152e-90
G0S2,5.9259388743202,8.81151701838468e-14
SERPINE1,5.64997938172699,6.61988934334885e-49
ABCC3,5.48681392160536,8.49061772193644e-81
CCL5,5.44734553983243,4.01792770056442e-54
P2RY6,5.40266682715624,5.62624118796432e-40
GGT5,5.4021640895173,7.28758114430084e-14
HSD11B1,5.39131859143869,2.05238652904011e-25
FAM167A,5.3360015083311,7.44767564479393e-33
PADI3,5.18839996318255,3.97970242707449e-38
CPA4,5.0878623650154,7.21731037919098e-53
ANPEP,5.04860420356829,6.06039295553666e-22
SBSN,4.98775472726878,4.33627322269076e-32
PRSS22,4.98130188073259,1.30722469139184e-22
KRT81,4.97277726194566,3.7677781838320203e-97
KRT19,4.96072577769228,6.20003007144273e-18
PTGIR,4.95592916667094,2.56537642589101e-06
FLNC,4.90626021620239,4.13358715782296e-32
STC1,4.8896925188759,5.31720696891697e-88
AQP1,4.88904995611776,6.0739345585452395e-34
CREB3L1,4.88826531659748,9.18423551088862e-32
IL33,4.8620257607218,1.9912198871406e-09
MYBPH,4.79467541007488,1.16755624765959e-13
BDKRB2,4.77192428020877,1.3171951871049301e-21
GPRC5C,4.75983401771162,1.00493997657694e-33
LINC01605,4.73862049718445,4.09705103299668e-23
CMKLR1,4.73829534640798,1.6318121248562798e-26
PLAU,4.69682088863738,4.71677839834769e-34
IGFN1,4.69510161592035,5.66482181816097e-54
S100A14,4.68606445517289,6.644576496189991e-19
SLAMF8,4.6495833371767,1.22552186190482e-13
LAPTM5,4.63458658080167,3.41284911415366e-59
EXOC3L2,4.63185613346094,1.48389118904126e-22
ITGA11,4.59550260013033,3.9836532901318895e-30
CCL7,4.57764902117041,6.35610469004259e-17
ALPK2,4.52610714624581,1.42488319748395e-23
RAB3B,4.47249946080484,1.92513630131894e-23
LGALS12,4.46178229975632,5.31218886993502e-20
TIE1,4.40230806603478,1.0709884334665e-20
PECAM1,4.36675262281555,5.9680106036712e-19
TREM1,4.3638464411544,2.21129501839711e-14
GPR1,4.34715243339908,1.3560876140139901e-14
KRT16,4.34278168707096,1.60327243959207e-10
CST7,4.32156590182929,7.86093523502002e-39
IL11,4.30847373049008,1.20619624652634e-17
DAPK2,4.28413758867593,1.2107333725109302e-19
SNCG,4.24628916370452,1.32405246982799e-18
PTPRN,4.23474130693852,1.82089492670441e-19
KRT32,4.21351315939233,1.38988742695916e-16
LOC284080,4.20314834776662,5.78569719500364e-20
PTGS1,4.19925834399401,1.07076724850618e-31
MUC20,4.19840124492956,8.33862250227479e-12
KRT34,4.18401823047833,2.8018711381545903e-09
GPR68,4.17668352287177,5.3886656725797e-20
CLCA2,4.16546442387838,2.5600004999948902e-20
IL1B,4.13455534161714,1.19476277415112e-16
DLX3,4.12555899940147,8.32619381351798e-08
RAC2,4.11765863509593,2.74044354747504e-73
OLFML2B,4.11464926063814,3.49652761133037e-21
COL6A3,4.11173007096866,6.81823635068707e-20
TNFRSF1B,4.10774861075972,5.09687689773051e-29
GPR4,4.0811078675913,3.31290151930987e-09
ICAM4,4.04678206176706,1.2988092471106698e-11
KRTAP2-3,4.04163681345889,1.9765919772191997e-12
TNFSF10,4.04161139112953,2.27995863981674e-17
