ModelID,PatientID,CellLineName,StrippedCellLineName,DepmapModelType,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,LegacyMolecularSubtype,LegacySubSubtype,PatientMolecularSubtype,RRID,Age,AgeCategory,Sex,PatientRace,PrimaryOrMetastasis,SampleCollectionSite,SourceType,SourceDetail,CatalogNumber,PatientTreatmentStatus,PatientTreatmentType,PatientTreatmentDetails,Stage,StagingSystem,PatientTumorGrade,PatientTreatmentResponse,GrowthPattern,OnboardedMedia,FormulationID,PlateCoating,EngineeredModel,TissueOrigin,ModelDerivationMaterial,PublicComments,CCLEName,HCMIID,WTSIMasterCellID,SangerModelID,COSMICID,DateSharedIndbGaP,SOX10_gene_effect,SOX10_dependency_probability,SOX10_expression_log2TPM1
ACH-000014,PT-fp8PeY,Hs 294T,HS294T,MEL,Skin,Melanoma,Melanoma,MEL,,,,CVCL_0331,56.0,Adult,Male,caucasian,Metastatic,lymph_node,ATCC,ATCC,HTB-140,,,,,,,,Adherent,MF-002-001,DMEM + 10% FBS,,,,,,HS294T_SKIN,,,SIDM00800,,,-2.0505176247111847,1.0,8.192933869820523
ACH-000219,PT-3FxmoJ,A-375,A375,MEL,Skin,Melanoma,Melanoma,MEL,,,,CVCL_0132,54.0,Adult,Female,,Primary,skin,ATCC,ATCC,CRL-1619,,,,,,,,Adherent,MF-002-001,DMEM + 10% FBS,,,,,,A375_SKIN,,953.0,SIDM00795,906793.0,,-1.4902022029024806,0.9967318494108762,8.077296415265875
ACH-000274,PT-QbMSjm,Hs 852.T,HS852T,MEL,Skin,Melanoma,Melanoma,MEL,,,,CVCL_0950,53.0,Adult,Male,,Primary,skin,ATCC,ATCC,CRL-7585,,,,,,,,Adherent,MF-002-001,DMEM + 10% FBS,,,,,,HS852T_SKIN,,,,,,-1.707606369196954,0.9983739444581188,8.295723024539969
ACH-000304,PT-JAyPtz,WM-115,WM115,MEL,Skin,Melanoma,Melanoma,MEL,,,,CVCL_0040,55.0,Adult,Female,,Metastatic,skin,ATCC,ATCC,,,,,,,,,Adherent,MF-006-001,MEM + 10% FBS,,,,,,WM115_SKIN,,1000.0,SIDM01000,909784.0,,-1.8442778663658697,0.9999999999999992,8.511357340697119
ACH-000322,PT-czDcsE,HT-144,HT144,MEL,Skin,Melanoma,Melanoma,MEL,,,,CVCL_0318,29.0,Adult,Male,caucasian,Metastatic,skin,ATCC,ATCC,HTB-63,,,,,,,,Adherent,MF-023-001,McCoy's 5A + 10% FBS,,,,,,HT144_SKIN,,1193.0,SIDM00695,907067.0,,-1.9464674548113767,1.0,7.778799939117547
ACH-000348,PT-xMEDHc,RPMI-7951,RPMI7951,MEL,Skin,Melanoma,Melanoma,MEL,,,,CVCL_1666,18.0,Adult,Female,caucasian,Metastatic,lymph_node,ATCC,ATCC,HTB-66,,,,,,,,Adherent,MF-001-001,RPMI + 10% FBS,,,,,,RPMI7951_SKIN,,1909.0,SIDM01087,910903.0,,-0.043656246673278,0.0468537243592245,0.4005379295837288
ACH-000401,PT-hf4hbl,COLO-800,COLO800,SKCM,Skin,Melanoma,Cutaneous Melanoma,SKCM,,,,CVCL_1135,14.0,Pediatric,Male,,Metastatic,skin,ATCC,ATCC,CRL-1974,,,,,,,,Adherent,MF-001-001,RPMI + 10% FBS,,,,,,COLO800_SKIN,,21.0,SIDM00515,906813.0,,-1.5570035653394845,0.9959945849619966,8.343629894959053
ACH-000404,PT-xgu7do,K029AX,K029AX,SKCM,Skin,Melanoma,Cutaneous Melanoma,SKCM,,,,CVCL_8784,,Unknown,Unknown,,Primary,skin,Academic lab,Received from CCLE; originally academic lab,,,,,,,,,Adherent,MF-001-001,RPMI + 10% FBS,,,,,,K029AX_SKIN,,,,,,-1.259997575585814,0.992042846763308,7.397118409042582
ACH-000425,PT-Zu8A8i,UACC-62,UACC62,MEL,Skin,Melanoma,Melanoma,MEL,,,,CVCL_1780,,Unknown,Unknown,,Primary,skin,Academic lab,NCI/DCTD,AddexBio Product Detail - UACC-62 Cells,,,,,,,,Adherent,MF-001-001,RPMI + 10% FBS,,,,,,UACC62_SKIN,,8.0,SIDM00107,905976.0,,-1.7153301272920884,0.9975509758411288,7.891905188211931
ACH-000441,PT-wx4HmM,SH-4,SH4,MEL,Skin,Melanoma,Melanoma,MEL,,,,CVCL_1692,60.0,Adult,Female,caucasian,Metastatic,pleural_effusion,ATCC,ATCC,CRL-7724,,,,,,,,Adherent,MF-002-001,DMEM + 10% FBS,,,,,,SH4_SKIN,,1179.0,SIDM01079,909713.0,,-1.6424959848668863,0.9999430325721904,7.90743150483471
ACH-000450,PT-tIdwwm,MEL-HO,MELHO,MEL,Skin,Melanoma,Melanoma,MEL,,,,CVCL_1402,,Unknown,Female,,Primary,skin,DSMZ,DSMZ,ACC 62,,,,,,,,Adherent,MF-001-001,RPMI + 10% FBS,,,,,This line is a ME-WEI derivative (ICLAC). DepMap metadata has been updated (as of 22Q2) to reflect this.,MELHO_SKIN,,2109.0,SIDM00337,908124.0,,-1.3708921858895389,0.9994133127796134,7.849186138743459
ACH-000458,PT-CfuEas,CJM,CJM,MEL,Skin,Melanoma,Melanoma,MEL,,,,CVCL_U797,,Unknown,Male,,Metastatic,skin,RIKEN,,RCB1034,,,,,,,,Adherent,MF-004-001,F12 + 10% FBS,,,,,,CJM_SKIN,,,,,,-0.2454667701533847,0.1395652087617039,0.070389327891398
ACH-000477,PT-A0Pe6P,Malme-3M,MALME3M,MEL,Skin,Melanoma,Melanoma,MEL,,,,CVCL_1438,43.0,Adult,Male,caucasian,Metastatic,lung,ATCC,ATCC,HTB-64,,,,,,,,Adherent,MF-001-001,RPMI + 10% FBS,,,,,,MALME3M_SKIN,,,SIDM00011,,,-2.6561863824157825,1.0,7.984247546994803
ACH-000550,PT-Wg8rkx,IGR-39,IGR39,MEL,Skin,Melanoma,Melanoma,MEL,,,,CVCL_2076,26.0,Adult,Male,,Primary,skin,DSMZ,DSMZ,ACC 239,,,,,,,,Adherent,MF-002-022,DMEM + 15% FBS,,,,,,IGR39_SKIN,,,SIDM01065,,,-0.2828983726801975,0.2276486097308831,0.1890338243900171
ACH-000579,PT-KoNkGk,UACC-257,UACC257,MEL,Skin,Melanoma,Melanoma,MEL,,,,CVCL_1779,,Unknown,Unknown,,Primary,skin,Academic lab,NCI/DCTD,Cannot find link to NCI/DCTD,,,,,,,,Adherent,MF-001-001,RPMI + 10% FBS,,,,,,UACC257_SKIN,,14.0,SIDM00108,905977.0,,-1.7191426723358074,0.9998546474486688,7.760753208062987
ACH-000580,PT-Dlqu1U,C32,C32,MEL,Skin,Melanoma,Melanoma,MEL,,amelanotic,,CVCL_1097,53.0,Adult,Male,caucasian,Primary,skin,ATCC,ATCC,CRL-1585,,,,,,,,Adherent,MF-015-001,EMEM + 10% FBS,,,,,,C32_SKIN,,2242.0,SIDM00890,906830.0,,-1.0179090629397824,0.9516271141193012,8.345360889539638
ACH-000614,PT-Zy2EsL,RVH-421,RVH421,MEL,Skin,Melanoma,Melanoma,MEL,,,,CVCL_1672,28.0,Adult,Male,caucasian,Metastatic,central_nervous_system,DSMZ,DSMZ,ACC 127,,,,,,,,Adherent,MF-001-001,RPMI + 10% FBS,,,,,,RVH421_SKIN,,1274.0,SIDM00401,909706.0,,-2.5244780124138613,1.0,8.19991768027457
ACH-000632,PT-CeiJLF,Hs 944.T,HS944T,SKCM,Skin,Melanoma,Cutaneous Melanoma,SKCM,,,,CVCL_1040,51.0,Adult,Male,caucasian,Metastatic,skin,ATCC,ATCC,Discontinued,,,,,,,,Adherent,MF-002-001,DMEM + 10% FBS,,,,,,HS944T_SKIN,,,SIDM00063,,,-0.6628439854799084,0.8741316827853817,7.299116415794093
ACH-000661,PT-VxRt2m,WM1799,WM1799,MEL,Skin,Melanoma,Melanoma,MEL,,,,CVCL_A341,,Unknown,Male,,Primary,skin,Academic lab,The Wistar Institute,Cannot find WISTAR website,,,,,,,,Adherent,MF-001-001,RPMI + 10% FBS,,,,,,WM1799_SKIN,,,,,,-2.5387885354047826,1.0,8.213784690329424
ACH-000765,PT-mH5ckQ,WM983B,WM983B,MEL,Skin,Melanoma,Melanoma,MEL,,,,CVCL_6809,54.0,Adult,Male,,Metastatic,lymph_node,Academic lab,Received from CCLE; originally academic lab,,,,,,,,,Adherent,MF-001-001,RPMI + 10% FBS,,,,,,WM983B_SKIN,,,,,,-1.3950347103733591,0.9997807005542366,8.128149025286326
ACH-000788,PT-ZSJTWI,A2058,A2058,MEL,Skin,Melanoma,Melanoma,MEL,,,,CVCL_1059,43.0,Adult,Male,caucasian,Metastatic,lymph_node,ATCC,ATCC,CRL-11147,,,,,,,,Adherent,MF-002-001,DMEM + 10% FBS,,,,,,A2058_SKIN,,652.0,SIDM00797,906792.0,,-0.0353484227462807,0.0398867899216969,7.632486348459769
ACH-000799,PT-mZ69Vl,Hs 695T,HS695T,MEL,Skin,Melanoma,Melanoma,MEL,,amelanotic,,CVCL_0851,26.0,Adult,Male,caucasian,Metastatic,lymph_node,ATCC,ATCC,HTB-137,,,,,,,,Adherent,MF-006-001,MEM + 10% FBS,,,,,,HS695T_SKIN,,,,,,-1.358474385561827,0.9999095370064928,7.680605666202592
ACH-000801,PT-1I8hCi,Hs 936.T,HS936T,MEL,Skin,Melanoma,Melanoma,MEL,,,,CVCL_1033,,Unknown,Male,,Primary,skin,ATCC,ATCC,,,,,,,,,Adherent,MF-002-001,DMEM + 10% FBS,,,,,,HS936T_SKIN,,,,,,-1.080920446785813,0.992575315363491,7.976707311846879
ACH-000805,PT-SscYEx,COLO-679,COLO679,SKCM,Skin,Melanoma,Cutaneous Melanoma,SKCM,,,,CVCL_1130,47.0,Adult,Female,,Metastatic,skin,DSMZ,DSMZ,ACC 264,,,,,,,,Adherent,MF-001-001,RPMI + 10% FBS,,,,,,COLO679_SKIN,,2049.0,SIDM00284,906818.0,,-0.9492042388866166,0.9801607278750576,7.782080880768314
ACH-000810,PT-1TshCj,SK-MEL-30,SKMEL30,SKCM,Skin,Melanoma,Cutaneous Melanoma,SKCM,,,,CVCL_0039,67.0,Adult,Male,caucasian,Metastatic,skin,DSMZ,DSMZ,ACC 151,,,,,,,,Adherent,MF-001-001,RPMI + 10% FBS,,,,,,SKMEL30_SKIN,,1789.0,SIDM00392,909726.0,,-1.1360922008453171,0.9649283241468316,8.193771743396681
ACH-000822,PT-n2hnAf,SK-MEL-24,SKMEL24,MEL,Skin,Melanoma,Melanoma,MEL,,,,CVCL_0599,67.0,Adult,Male,caucasian,Metastatic,lymph_node,ATCC,ATCC,HTB-71,,,,,,,,Adherent,MF-006-001,MEM + 10% FBS,,,,,,SKMEL24_SKIN,,945.0,SIDM01106,909725.0,,-1.061309245719832,0.9722658897381258,8.529977073907332
ACH-000827,PT-L3eOYW,WM793,WM793,MEL,Skin,Melanoma,Melanoma,MEL,,,,CVCL_8787,37.0,Adult,Male,,Primary,skin,Academic lab,The Wistar Institute,Cannot find WISTAR website,,,,,,,,Adherent,MF-001-001,RPMI + 10% FBS,,,,,,WM793_SKIN,,114.0,SIDM00973,1299081.0,,-1.7182053155983434,0.998602506969387,7.178216662142889
ACH-000881,PT-9PTPLm,MEL-JUSO,MELJUSO,SKCM,Skin,Melanoma,Cutaneous Melanoma,SKCM,,,,CVCL_1403,58.0,Adult,Female,,Primary,skin,DSMZ,DSMZ,ACC 74,,,,,,,,Adherent,MF-001-001,RPMI + 10% FBS,,,,,,MELJUSO_SKIN,,626.0,SIDM00336,908125.0,,-1.9928565369669569,1.0,7.763477970909759
ACH-000882,PT-MRf5jM,IGR-1,IGR1,MEL,Skin,Melanoma,Melanoma,MEL,,,,CVCL_1303,42.0,Adult,Male,,Metastatic,lymph_node,DSMZ,DSMZ,ACC 236,,,,,,,,Adherent,MF-002-001,DMEM + 10% FBS,,,,,,IGR1_SKIN,,1534.0,SIDM01060,907169.0,,-1.6407906189560342,1.0,7.982822493992777
ACH-000884,PT-3NwoWt,MDA-MB-435S,MDAMB435S,MEL,Skin,Melanoma,Melanoma,MEL,,amelanotic,,CVCL_0622,31.0,Adult,Unknown,caucasian,Metastatic,skin,ATCC,ATCC,HTB-129,,,,,,,,Adherent,MF-001-001,RPMI + 10% FBS,,,,,SNP fingerprinting confirms that this line is an M14 derivative. DepMap metadata has been updated (as of 22Q2) to reflect this.,MDAMB435S_SKIN,,,SIDM01222,,,-1.1857503423232865,0.9903208641492446,6.6884601404244926
