omitted_model_id,retained_n,mean_effect_melanoma,mean_effect_other,selectivity,frac_dependent_melanoma
ACH-000014,74,-1.3597664333084758,-0.1845067908520526,-1.1752596424564232,0.8378378378378378
ACH-000219,74,-1.3673382633329176,-0.1845067908520526,-1.182831472480865,0.8378378378378378
ACH-000274,74,-1.3644003691938031,-0.1845067908520526,-1.1798935783417506,0.8378378378378378
ACH-000304,74,-1.362553457069899,-0.1845067908520526,-1.1780466662178464,0.8378378378378378
ACH-000322,74,-1.3611725166855002,-0.1845067908520526,-1.1766657258334476,0.8378378378378378
ACH-000348,74,-1.3868861816603395,-0.1845067908520526,-1.202379390808287,0.8513513513513513
ACH-000401,74,-1.3664355422189043,-0.1845067908520526,-1.1819287513668517,0.8378378378378378
ACH-000404,74,-1.3704491366750349,-0.1845067908520526,-1.1859423458229823,0.8378378378378378
ACH-000425,74,-1.3642959940844097,-0.1845067908520526,-1.1797892032323571,0.8378378378378378
ACH-000441,74,-1.3652802392523178,-0.1845067908520526,-1.1807734484002652,0.8378378378378378
ACH-000450,74,-1.3689505608601198,-0.1845067908520526,-1.1844437700080672,0.8378378378378378
ACH-000458,74,-1.3841590124241219,-0.1845067908520526,-1.1996522215720693,0.8513513513513513
ACH-000477,74,-1.351581720366522,-0.1845067908520526,-1.1670749295144693,0.8378378378378378
ACH-000550,74,-1.3836531799575433,-0.1845067908520526,-1.1991463891054908,0.8513513513513513
ACH-000579,74,-1.3642444732054404,-0.1845067908520526,-1.1797376823533878,0.8378378378378378
ACH-000580,74,-1.3737206030621434,-0.1845067908520526,-1.1892138122100908,0.8378378378378378
ACH-000614,74,-1.3533615632043854,-0.1845067908520526,-1.1688547723523328,0.8378378378378378
ACH-000632,74,-1.3785187797845742,-0.1845067908520526,-1.1940119889325216,0.8378378378378378
ACH-000661,74,-1.3531681777585625,-0.1845067908520526,-1.16866138690651,0.8378378378378378
ACH-000765,74,-1.3686243105292573,-0.1845067908520526,-1.1841175196772047,0.8378378378378378
ACH-000788,74,-1.3869984495512448,-0.1845067908520526,-1.2024916586991923,0.8513513513513513
ACH-000799,74,-1.3691183689726565,-0.1845067908520526,-1.184611578120604,0.8378378378378378
ACH-000801,74,-1.3728690978750349,-0.1845067908520526,-1.1883623070229823,0.8378378378378378
ACH-000805,74,-1.3746490466304295,-0.1845067908520526,-1.190142255778377,0.8378378378378378
ACH-000810,74,-1.3721235336309876,-0.1845067908520526,-1.187616742778935,0.8378378378378378
ACH-000822,74,-1.3731341141056563,-0.1845067908520526,-1.1886273232536038,0.8378378378378378
ACH-000827,74,-1.3642571401883792,-0.1845067908520526,-1.1797503493363266,0.8378378378378378
ACH-000881,74,-1.3605456371969114,-0.1845067908520526,-1.1760388463448588,0.8378378378378378
ACH-000882,74,-1.3653032847375994,-0.1845067908520526,-1.1807964938855469,0.8378378378378378
ACH-000884,74,-1.371452477665069,-0.1845067908520526,-1.1869456868130164,0.8378378378378378
ACH-000899,74,-1.371922651674526,-0.1845067908520526,-1.1874158608224734,0.8378378378378378
ACH-000915,74,-1.3713260723770546,-0.1845067908520526,-1.186819281525002,0.8378378378378378
ACH-000968,74,-1.3630946254520904,-0.1845067908520526,-1.1785878346000378,0.8378378378378378
ACH-001041,74,-1.3740241244890319,-0.1845067908520526,-1.1895173336369793,0.8378378378378378
ACH-001190,74,-1.3686321732245426,-0.1845067908520526,-1.18412538237249,0.8378378378378378
ACH-001239,74,-1.3645462407120106,-0.1845067908520526,-1.180039449859958,0.8378378378378378
ACH-001522,74,-1.36130448815153,-0.1845067908520526,-1.1767976972994774,0.8378378378378378
ACH-001554,74,-1.3799041129160752,-0.1845067908520526,-1.1953973220640226,0.8378378378378378
ACH-001563,74,-1.3850437750514042,-0.1845067908520526,-1.2005369841993516,0.8513513513513513
ACH-001566,74,-1.363937689662866,-0.1845067908520526,-1.1794308988108135,0.8378378378378378
ACH-001567,74,-1.3596648116402024,-0.1845067908520526,-1.1751580207881498,0.8378378378378378
ACH-001568,74,-1.3649784800506175,-0.1845067908520526,-1.180471689198565,0.8378378378378378
ACH-001570,74,-1.3629992056316738,-0.1845067908520526,-1.1784924147796212,0.8378378378378378
ACH-001645,74,-1.3638456139382622,-0.1845067908520526,-1.1793388230862096,0.8378378378378378
ACH-001970,74,-1.3576148681576536,-0.1845067908520526,-1.173108077305601,0.8378378378378378
ACH-001972,74,-1.3587548004649912,-0.1845067908520526,-1.1742480096129386,0.8378378378378378
ACH-001973,74,-1.3704789789507825,-0.1845067908520526,-1.18597218809873,0.8378378378378378
ACH-001975,74,-1.3709275118429687,-0.1845067908520526,-1.1864207209909161,0.8378378378378378
ACH-001982,74,-1.3610920831881905,-0.1845067908520526,-1.176585292336138,0.8378378378378378
ACH-001986,74,-1.3641262357925692,-0.1845067908520526,-1.1796194449405166,0.8378378378378378
ACH-001990,74,-1.3582904377354361,-0.1845067908520526,-1.1737836468833835,0.8378378378378378
ACH-002001,74,-1.366743605535622,-0.1845067908520526,-1.1822368146835693,0.8378378378378378
ACH-002002,74,-1.3846191555633367,-0.1845067908520526,-1.2001123647112841,0.8513513513513513
ACH-002003,74,-1.3655979671172895,-0.1845067908520526,-1.181091176265237,0.8378378378378378
ACH-002004,74,-1.3716449111343667,-0.1845067908520526,-1.1871381202823141,0.8378378378378378
ACH-002005,74,-1.3597018385105868,-0.1845067908520526,-1.1751950476585342,0.8378378378378378
ACH-002014,74,-1.3727016276663413,-0.1845067908520526,-1.1881948368142887,0.8378378378378378
ACH-002015,74,-1.383241919853353,-0.1845067908520526,-1.1987351290013004,0.8513513513513513
ACH-002016,74,-1.3835950073153032,-0.1845067908520526,-1.1990882164632506,0.8513513513513513
ACH-002018,74,-1.356436437082794,-0.1845067908520526,-1.1719296462307414,0.8378378378378378
ACH-002040,74,-1.3571673594969087,-0.1845067908520526,-1.1726605686448561,0.8378378378378378
ACH-002084,74,-1.3621144866032027,-0.1845067908520526,-1.17760769575115,0.8378378378378378
ACH-002143,74,-1.3824649078446214,-0.1845067908520526,-1.1979581169925688,0.8513513513513513
ACH-002458,74,-1.3729606030948474,-0.1845067908520526,-1.1884538122427948,0.8378378378378378
ACH-002460,74,-1.3652699324973887,-0.1845067908520526,-1.1807631416453361,0.8378378378378378
ACH-002461,74,-1.3856770128129532,-0.1845067908520526,-1.2011702219609006,0.8513513513513513
ACH-002508,74,-1.3852219469404978,-0.1845067908520526,-1.2007151560884453,0.8513513513513513
ACH-002510,74,-1.3592144637229508,-0.1845067908520526,-1.1747076728708983,0.8378378378378378
ACH-002511,74,-1.3638230692986695,-0.1845067908520526,-1.179316278446617,0.8378378378378378
ACH-002512,74,-1.3715237295933271,-0.1845067908520526,-1.1870169387412746,0.8378378378378378
