Gene,both_M1M2
A1BG,0
A1CF,-0.00672756999091676
A2M,0.00654247458802704
A4GALT,-0.0311236940963048
A4GNT,0.00771421155266647
AAAS,0.0036972208406412
AACS,0.0018147188881829
AACSP1,-0.00396720415715943
AADACL3,-0.00503563180566888
AADAT,0.00337642112124915
AAGAB,0.000786447916591235
AAK1,0.00396045189584974
AAMDC,-0.0039557306955318
AAMP,-0.00129660396042953
AANAT,-0.0096490602317581
AAR2,0
AARS2,-0.00192184451545702
AARSD1,0.00616426597013981
AASDH,0
AASDHPPT,0
AASS,-0.00622894034118725
AATF,-0.0028189907616149
AATK,0.00832644966165643
ABAT,0.012909726533174
ABCA1,-0.00525895325523745
ABCA10,-0.00796610779228745
ABCA11P,0
ABCA12,0.00250320295039895
ABCA13,0.00285503156373205
ABCA2,0.012164570286247
ABCA3,0
ABCA4,0.00291513731010458
ABCA5,-0.0071850146091276
ABCA6,-0.00348403940180777
ABCA7,-0.00437077619727555
ABCA8,-0.00391185665035911
ABCA9,-0.0106672813740155
ABCB1,0.00341203590173687
ABCB10,0.00431751364374102
ABCB11,0.00371219904294291
ABCB4,0.0202912930988247
ABCB5,0.0108537015230864
ABCB6,-0.00104396752937776
ABCB7,0.00130690006480413
ABCB8,0.00482765771174984
ABCB9,0.00841618263977812
ABCC1,-0.00364615112778519
ABCC10,-0.000964439385246449
ABCC11,-0.0226080917616931
ABCC13,0.00567931949974671
ABCC2,-0.00451688297124015
ABCC3,0.00701879842411063
ABCC4,0
ABCC5,0.0144346419284753
ABCC6,-0.00901580205477565
ABCC6P1,0
ABCC9,-0.0064045756596117
ABCD1,-0.00613378326885629
ABCD2,0
ABCD3,0.00662365192410577
ABCD4,-0.000855929300471427
ABCE1,0.0077470348637332
ABCF1,0
ABCF2,0.0045912141341401
ABCF3,0.00273593369923986
ABCG1,-0.0107728137772484
ABCG2,0.0286567302041612
ABCG4,0.00507891480501247
ABHD10,0.00735585335258651
ABHD11,0.00429740601765664
ABHD12,0
ABHD12B,0.0142398318526425
ABHD13,-0.00296885925176197
ABHD14A,0.0052584170755203
ABHD14B,0.00288222258051515
ABHD15,0.00430270059704592
ABHD16A,-0.00384014200932453
ABHD17A,0.00582281791108556
ABHD17C,-0.00938022147281649
ABHD2,0.00945624639641712
ABHD3,0
ABHD4,0.00547867237824111
ABHD6,0.00982280684853906
ABHD8,-0.0015958156480335
ABI1,-0.00516449404569202
ABI2,0.00773240176037103
ABI3,-0.000559168068727147
ABI3BP,-0.00250557484979056
ABL1,0.00140035655241149
ABL2,-0.000663163148345245
ABLIM1,-0.00316630960617437
ABLIM2,0.00316936082447653
ABLIM3,0.0104855404023419
ABR,0.00280278165212606
ABRA,0.00402512999025714
ABT1,0.00100358218287809
