Algorithm,Clusters (K),Noise Count,Silhouette Score (High),Calinski-Harabasz (High),Davies-Bouldin (Low),ARI vs K-Means,Response Rate Spread (%),Cohort_Size
K-Means (Current),4,0,0.237,100.2,1.39,1.0,26.4,ICI-only (N=326)
HAC (Ward Linkage),4,0,0.212,89.0,1.508,0.327,29.6,ICI-only (N=326)
Gaussian Mixture (GMM),4,0,0.224,59.4,1.434,0.188,17.9,ICI-only (N=326)
Spectral Clustering,4,0,0.218,49.4,1.839,0.497,25.6,ICI-only (N=326)
DBSCAN (Density-Based),6,43,0.232,44.9,1.385,0.538,64.9,ICI-only (N=326)
Consensus Clustering,4,0,0.179,92.0,1.629,0.414,17.7,ICI-only (N=326)
K-Means (Current),4,0,0.253,209.9,1.33,1.0,26.1,Full cohort (N=699)
HAC (Ward Linkage),4,0,0.223,176.9,1.433,0.738,25.6,Full cohort (N=699)
Gaussian Mixture (GMM),4,0,0.204,90.6,1.548,0.53,26.1,Full cohort (N=699)
Spectral Clustering,4,0,0.206,98.8,2.003,0.396,25.3,Full cohort (N=699)
DBSCAN (Density-Based),7,30,0.153,65.4,1.736,0.36,63.9,Full cohort (N=699)
Consensus Clustering,4,0,0.196,199.0,1.604,0.455,17.3,Full cohort (N=699)
