Immune_Feature,Driver_Mutation,Beta_Interaction,p_value,neg_log10_p
TIS,mut_BRAF,-0.6706921497588196,0.031725586867339346,1.4985903354778685
TIS,mut_NRAS,0.056003009543455905,0.8790266856605822,0.05599794033098595
TIS,mut_NF1,0.09353579538950786,0.8604168639562737,0.06529108613745892
CYT,mut_BRAF,-0.5407666035181333,0.10392859353266574,0.9832649499882072
CYT,mut_NRAS,-0.28276230874707914,0.36972035783851787,0.43212663529783174
CYT,mut_NF1,0.13030782855210674,0.8073340802304719,0.09294671412919903
IFN_gamma,mut_BRAF,-0.5270386268217478,0.08651357664243563,1.0629157330182382
IFN_gamma,mut_NRAS,0.08698798115719987,0.8070277059970782,0.09311155529639313
IFN_gamma,mut_NF1,0.24510725140010461,0.6492656222662014,0.187577591822062
CD8_T_cells,mut_BRAF,-0.5672875537536453,0.07355008466813978,1.133416822992403
CD8_T_cells,mut_NRAS,-0.22510597511865557,0.5152131604932226,0.28801305198250876
CD8_T_cells,mut_NF1,0.5999768069952287,0.34361787441661906,0.46392425299388435
B_cells,mut_BRAF,-0.5856834097430206,0.07315661149118391,1.1357464186242925
B_cells,mut_NRAS,-0.608295955967552,0.10344805053740291,0.9852776891338285
B_cells,mut_NF1,0.33709104483539454,0.47770966901823875,0.32083596834869654
M1_M2_Ratio,mut_BRAF,0.41010759016711684,0.55363622884114,0.2567754982641211
M1_M2_Ratio,mut_NRAS,0.48563577216918313,0.5895914930598287,0.22944879133595775
M1_M2_Ratio,mut_NF1,0.9376069839504266,0.654414070533252,0.18414737148640528
Macrophage_STV_Score,mut_BRAF,0.3069428789893553,0.4556734959078652,0.3413462312720827
Macrophage_STV_Score,mut_NRAS,0.3709643553574524,0.377768537984694,0.4227742146211921
Macrophage_STV_Score,mut_NF1,-0.12163353588244234,0.853236245123717,0.06893070418031556
