Cohort,Variable,Test,Odds Ratio (OR),95% CI Lower,95% CI Upper,p-value,Type
Liu 2019,Sex (Male vs Female),Fisher's Exact / OR,0.9759878977422178,0.41522752449573097,2.299178041081447,1.0,Categorical
Liu 2019,Stage (IV vs III),Fisher's Exact / OR,12.485148514851485,1.0586750654963368,inf,0.029484968441491163,Categorical
Liu 2019,BRAF (Any Mutation),Fisher's Exact / OR,0.801718544607983,0.3366748970352949,1.8899257468826667,0.6891137764770208,Categorical
Liu 2019,BRAF V600 (Mut vs WT),Fisher's Exact / OR,0.8534103421541687,0.3294789509113627,2.1732573093646086,0.8288587579346411,Categorical
Liu 2019,BRAF V600E (Mut vs WT),Fisher's Exact / OR,0.8534103421541687,0.3294789509113627,2.1732573093646086,0.8288587579346411,Categorical
Liu 2019,NRAS Mutation (Mut vs WT),Fisher's Exact / OR,1.4930454049905206,0.5975186897947918,3.770028339272764,0.397066885867775,Categorical
Liu 2019,NF1 Mutation (Mut vs WT),Fisher's Exact / OR,1.0609282000430384,0.34309355498513966,3.2394808486084674,1.0,Categorical
Liu 2019,TMB (per SD),Logistic Regression (per SD),1.1307421875989971,0.7638336850585065,1.673895665806139,0.5392592848627564,Continuous
Liu 2019,SNV Neoantigens (per SD),Logistic Regression (per SD),1.0204607273675281,0.6946057751174023,1.4991814542910433,0.9178025142188981,Continuous
Liu 2019,Indel Neoantigens (per SD),Logistic Regression (per SD),1.180462015057698,0.7814432356417335,1.783226862088997,0.43053953662417976,Continuous
Hugo 2016,Sex (Male vs Female),Fisher's Exact / OR,1.1067792386358768,0.15450444723612614,7.9560906724820715,1.0,Categorical
Hugo 2016,Stage (IV vs III),Fisher's Exact / OR,0.3333333333333333,0.0,41.99999999999997,1.0,Categorical
Hugo 2016,BRAF (Any Mutation),Fisher's Exact / OR,1.5180671451797179,0.25645735185226975,9.455527993815824,0.7035671018979675,Categorical
Hugo 2016,BRAF V600 (Mut vs WT),Fisher's Exact / OR,0.8620548277910589,0.1471096332468742,4.95430003114312,1.0,Categorical
Hugo 2016,BRAF V600E (Mut vs WT),Fisher's Exact / OR,0.6535537161050851,0.10885602656266426,3.733757413956903,0.7063902723560821,Categorical
Hugo 2016,NRAS Mutation (Mut vs WT),Fisher's Exact / OR,1.4777970399255183,0.1392654534481263,21.003594895814334,1.0,Categorical
Hugo 2016,NF1 Mutation (Mut vs WT),Fisher's Exact / OR,8.31300282830446,0.7799154280154796,447.60569752465256,0.07681159420289856,Categorical
Hugo 2016,Age (per SD),Logistic Regression (per SD),1.8930057427374722,0.7740049613202442,4.629777483499089,0.16194061773740698,Continuous
Hugo 2016,TMB (per SD),Logistic Regression (per SD),5.246725508291107,0.21952959970670874,125.39597665248836,0.3060051281581162,Continuous
Hugo 2016,SNV Neoantigens (per SD),Logistic Regression (per SD),1.8224435656366138,0.6506781850558913,5.1043674526217675,0.25338033509385927,Continuous
Hugo 2016,Indel Neoantigens (per SD),Logistic Regression (per SD),1.232991244760104,0.561972820095848,2.7052329851037618,0.6013605144555321,Continuous
Riaz 2017,Sex (Male vs Female),Fisher's Exact / OR,1.9372249323365927,0.562127266824606,7.152213205988122,0.27588125451230777,Categorical
Riaz 2017,Stage (IV vs III),Fisher's Exact / OR,1.9863013698630136,0.06812492964379613,inf,1.0,Categorical
Riaz 2017,BRAF (Any Mutation),Fisher's Exact / OR,0.7179561699882334,0.16953561781043944,2.649914719480484,0.7692346411824857,Categorical
Riaz 2017,BRAF V600 (Mut vs WT),Fisher's Exact / OR,1.0,0.23029270063330726,3.8503849803685304,1.0,Categorical
Riaz 2017,BRAF V600E (Mut vs WT),Fisher's Exact / OR,1.0,0.23029270063330726,3.8503849803685304,1.0,Categorical
Riaz 2017,NRAS Mutation (Mut vs WT),Fisher's Exact / OR,1.1156772047203443,0.161513742794954,6.004655301487055,1.0,Categorical
Riaz 2017,NF1 Mutation (Mut vs WT),Fisher's Exact / OR,12.027027027027026,0.4215824869763006,inf,0.09424603174603174,Categorical
Riaz 2017,Age (per SD),Logistic Regression (per SD),1.036231851092596,0.6027433645727096,1.7814819910626452,0.897563649050769,Continuous
Riaz 2017,TMB (per SD),Logistic Regression (per SD),0.7938807779028159,0.4199614046187695,1.500725263302951,0.4774080929382034,Continuous
