Cohort,Signature,N Responders,N Non-Responders,Mean Responders,Mean Non-Responders,U-statistic,p-value,Significant (p < 0.05)
Liu 2019,IFN_gamma,48,56,3.025356852719911,3.0096337827794875,1467.0,0.4244283920268529,No
Liu 2019,TIS,48,56,2.9464936761625946,2.960617563046848,1458.0,0.45925296833944407,No
Liu 2019,CYT,48,56,2.7141882091487695,2.8241058912900594,1511.0,0.27762623467407443,No
Liu 2019,CD8_Tcell,48,56,2.518415813057675,2.6165000997493797,1371.0,0.8628123555583002,No
Liu 2019,IMPRES,48,56,10.708333333333334,10.428571428571429,1586.0,0.10819581281828217,No
Liu 2019,PD_L1,48,56,2.657823694821556,2.617597366026282,1557.0,0.16577188055883774,No
Hugo 2016,IFN_gamma,14,13,3.3111365775373907,3.310739880760958,90.0,0.980642762903111,No
Hugo 2016,TIS,14,13,3.2593532036485677,3.2453040338443535,92.0,0.980642762903111,No
Hugo 2016,CYT,14,13,3.075754813085889,3.172652267444682,74.0,0.4233159874752107,No
Hugo 2016,CD8_Tcell,14,13,3.081679483312835,3.079551444379213,91.0,1.0,No
Hugo 2016,IMPRES,14,13,8.0,8.307692307692308,75.5,0.4506220853271682,No
Hugo 2016,PD_L1,14,13,3.152821414202138,3.0695816270187146,104.0,0.5441316793449582,No
Riaz 2017,IFN_gamma,20,44,3.459610216602967,3.2419145387197443,586.0,0.03507929644134431,Yes
Riaz 2017,TIS,20,44,3.3915094947461206,3.136599174669188,628.0,0.00661207194255799,Yes
Riaz 2017,CYT,20,44,3.230675161840695,2.935503477446719,632.0,0.00554206937932145,Yes
Riaz 2017,CD8_Tcell,20,44,3.202953105354728,2.883773199820391,635.0,0.004844969666849185,Yes
Riaz 2017,IMPRES,20,44,10.4,8.772727272727273,697.0,0.00014451500478210866,Yes
Riaz 2017,PD_L1,20,44,3.244410779322955,3.1464117838215073,520.0,0.24953117942855052,No
Merged Trials,IFN_gamma,82,113,0.037089857874963036,-0.1330650576434571,5327.0,0.07464542050152181,No
Merged Trials,TIS,82,113,0.04757451506227187,-0.12946982415864708,5425.0,0.04189664864831749,Yes
Merged Trials,CYT,82,113,-0.02368105151677564,-0.07859287675481952,5406.0,0.04706589958569605,Yes
Merged Trials,CD8_Tcell,82,113,-0.0029453146615086648,-0.09664127083345708,5313.0,0.08069756922078387,No
Merged Trials,IMPRES,82,113,7.560975609756097,7.035398230088496,5225.5,0.12448573306464229,No
Merged Trials,PD_L1,82,113,0.04752973346674613,-0.13813439081658316,5368.0,0.059013689279699896,No
