"gene","coefficient"
"(Intercept)",1.72712556920151
"ZXDC (79364)",-0.0607607756766663
"TRPM3 (80036)",-0.0104154157795771
"TNRC6B (23112)",-0.0130337843224944
"NINL (22981)",0.0693211497363599
"NPRL3 (8131)",-0.0587110504769115
"MED25 (81857)",-0.0050668925502452
"LPXN (9404)",-0.000680347470755955
"KPNA1 (3836)",-0.0998846691442447
"CEP104 (9731)",-0.0456850996636185
"MAN1C1 (57134)",-0.0176875997862908
"ITGA9 (3680)",-0.0101583595566179
"VENTX (27287)",-0.530688230449922
"FZD7 (8324)",-0.0152091588917325
"ZFYVE9 (9372)",-0.0211043204023879
"SHROOM4 (57477)",-0.0309952275681024
"LHX8 (431707)",-0.00552576197332845
"RBM15 (64783)",-0.00538206405661163
"PPM1L (151742)",-0.0105346783882295
"PTER (9317)",0.128227245659428
"KIF7 (374654)",-0.017527845645593
"MAP1A (4130)",-0.00328989308737776
"HIC2 (23119)",-0.0464582576571518
"RORB (6096)",-1.86474037381878e-05
"LYPD8 (646627)",-0.307206034715092
