"gene","coefficient"
"(Intercept)",2.38253044786625
"CASP8 (841)",-0.0006877411498239
"ANKS1A (23294)",-0.00559447317708588
"GSK3B (2932)",-0.0607596636268984
"FKBP5 (2289)",-0.015119366392926
"EIF3L (51386)",-0.0621323995061486
"PCCB (5096)",-0.0136200096015667
"PDCL3 (79031)",-0.0521009292368329
"ACAT2 (39)",-0.0108357147787885
"ZCCHC17 (51538)",-0.0255241244635797
"DBR1 (51163)",-0.0417692930312587
"HMGA2 (8091)",-0.0086658872514685
"PTPRD (5789)",0.00673730317751746
"DKK2 (27123)",0.0157263213744476
"HIPK4 (147746)",0.236758527823597
"RBM15 (64783)",-0.0441243009127771
"ALPI (248)",0.608930349958775
"TRIB1 (10221)",-0.0157955945780319
"LRRC75B (388886)",0.0369986965430771
"ZFP3 (124961)",0.000863666725486156
"TEX35 (84066)",0.29110885349854
"NBPF26 (101060684)",-0.00292436851660916
"OOSP3 (112577461)",-0.0718527866463506
