"Drug_Name","Gene_Symbol","Lasso_Weight"
"Dabrafenib","ZXDC",-0.060760740155113
"Dabrafenib","TRPM3",-0.0104154081787634
"Dabrafenib","TNRC6B",-0.0130336437882541
"Dabrafenib","NINL",0.0693211437124332
"Dabrafenib","NPRL3",-0.0587110363296004
"Dabrafenib","MED25",-0.00506695293374523
"Dabrafenib","LPXN",-0.000680357564159133
"Dabrafenib","KPNA1",-0.099884793654529
"Dabrafenib","CEP104",-0.04568501493683
"Dabrafenib","MAN1C1",-0.0176875936428811
"Dabrafenib","ITGA9",-0.010158382363313
"Dabrafenib","VENTX",-0.530693462430863
"Dabrafenib","FZD7",-0.0152091399532299
"Dabrafenib","ZFYVE9",-0.0211043194219778
"Dabrafenib","SHROOM4",-0.0309952777006142
"Dabrafenib","LHX8",-0.00552575539086788
"Dabrafenib","RBM15",-0.00538205301801251
"Dabrafenib","PPM1L",-0.0105346303758261
"Dabrafenib","PTER",0.128227180540323
"Dabrafenib","KIF7",-0.0175278588715362
"Dabrafenib","MAP1A",-0.00328990809021326
"Dabrafenib","HIC2",-0.0464583308387367
"Dabrafenib","RORB",-1.86521726087602e-05
"Dabrafenib","LYPD8",-0.307205938646456
"PLX-4720","TRPM3",-0.0272483808109318
"PLX-4720","METTL2A",0.0261369416330301
"PLX-4720","NUP50",-0.00124865155946307
"PLX-4720","CTSG",-0.0299050190806952
"PLX-4720","NINL",0.0172495017584419
"PLX-4720","MAN1C1",-0.00425752579815246
"PLX-4720","TMEM14B",0.00574402531546992
"PLX-4720","TM4SF5",-0.142179261384499
"PLX-4720","SHROOM4",-0.00605443763771069
"PLX-4720","PTER",0.0024112136642318
"PLX-4720","KIF7",-0.00181964295791022
"Trametinib","CASP8",-0.0006877411498239
"Trametinib","ANKS1A",-0.00559447317708588
"Trametinib","GSK3B",-0.0607596636268984
"Trametinib","FKBP5",-0.015119366392926
"Trametinib","EIF3L",-0.0621323995061486
"Trametinib","PCCB",-0.0136200096015667
"Trametinib","PDCL3",-0.0521009292368329
"Trametinib","ACAT2",-0.0108357147787885
"Trametinib","ZCCHC17",-0.0255241244635797
"Trametinib","DBR1",-0.0417692930312587
"Trametinib","HMGA2",-0.0086658872514685
"Trametinib","PTPRD",0.00673730317751746
"Trametinib","DKK2",0.0157263213744476
"Trametinib","HIPK4",0.236758527823597
"Trametinib","RBM15",-0.0441243009127771
"Trametinib","ALPI",0.608930349958775
"Trametinib","TRIB1",-0.0157955945780319
"Trametinib","LRRC75B",0.0369986965430771
"Trametinib","ZFP3",0.000863666725486156
"Trametinib","TEX35",0.29110885349854
"Trametinib","NBPF26",-0.00292436851660916
"Trametinib","OOSP3",-0.0718527866463506
"Temozolomide","CIAPIN1",0.000785933042288428
"Temozolomide","DCX",-0.037124287447128
"Temozolomide","CHODL",-0.00503556793159905
"Temozolomide","DRAXIN",-0.0215001193214773
"Temozolomide","FABP1",-0.029270064925324
"Temozolomide","OR2J3",-1.91497063353211
"Temozolomide","OR2L8",-0.0342606107923522
"Dacarbazine","EYA1",0.000760149150798679
"Dacarbazine","RIBC1",0.000412680348370399
"Dacarbazine","DNAH3",0.00808907756392875
"Dacarbazine","INSM2",-0.0202642083717589
"Dacarbazine","ZNF778",0.00220196814906294
"Dacarbazine","PDIK1L",0.00191809593180407
"Dacarbazine","H1-5",0.000978630355804911
